A1,A2
29.1,382.84
38.9,396.9
21.5,377.68
30.8,389.71
26.3,390.49
9.9,393.37
18.8,376.7
32,394.23
34.1,396.9
36.6,354.31
38.3,392.2
15.3,396.9
13.9,384.3
38.4,393.77
15.7,395.38
33.2,392.78
31.9,390.55
22.3,396.9
52.5,394.87
72.7,389.43
59.1,381.32
100,396.9
92.1,393.25
88.6,395.24
53.8,390.94
32.3,385.81
9.8,348.93
42.4,393.63
56,392.8
85.1,392.78
93.8,396.9
92.4,393.74
88.5,391.7
91.3,395.24
77.7,390.39
80.8,396.9
78.3,385.05
83,382
86.5,387.38
79.9,372.08
17,377.51
21.4,380.34
68.1,378.35
76.9,376.14
73.3,385.91
70.4,378.95
66.5,360.2
61.5,376.75
76.5,388.45
71.6,390.07
18.5,379.41
42.2,383.78
54.3,391.25
65.1,394.62
52.9,372.75
7.8,374.71
76.5,372.49
70.2,389.13
34.9,390.18
79.2,376.14
49.1,374.71
17.5,393.74
13,396.28
8.9,377.07
6.8,386.09
8.4,396.9
32,392.89
19.1,395.18
34.2,386.34
86.9,389.7
100,383.29
100,391.93
81.8,392.8
89.4,388.37
91.5,386.86
94.5,393.42
91.6,387.89
62.8,392.4
84.6,384.07
67,384.54
52.6,390.3
61.5,391.34
42.1,388.65
16.3,396.9
58.7,394.96
51.8,390.77
32.9,396.9
42.8,396.9
49,389.25
27.6,393.45
32.1,396.9
32.2,396.9
64.5,387.31
37.2,392.23
49.7,377.07
24.8,395.52
20.8,394.72
31.9,394.72
31.5,341.6
31.3,396.9
45.6,396.9
22.9,371.72
27.9,396.9
27.7,396.9
23.4,396.9
18.4,396.9
42.3,396.9
31.1,396.9
51,392.85
58,396.9
20.1,368.24
10,371.58
47.4,390.86
40.4,395.75
18.4,383.61
17.7,390.43
41.1,393.68
58.1,393.36
71.9,396.9
70.3,396.9
82.5,396.9
76.7,396.24
37.8,350.45
52.8,396.9
90.4,396.3
82.8,393.39
87.3,395.69
77.7,396.42
83.2,390.7
71.7,396.9
67.2,395.21
58.8,396.23
52.3,396.9
54.3,396.9
49.9,396.9
74.3,391.13
40.1,396.9
14.7,393.68
28.9,396.9
43.7,396.9
25.8,382.44
17.2,375.21
32.2,368.57
28.4,394.02
23.3,362.25
38.1,389.71
38.5,389.4
34.5,396.9
46.3,396.9
59.6,394.81
37.3,396.14
45.4,396.9
58.5,396.9
49.3,394.74
59.7,389.96
56.4,396.9
28.1,387.97
48.5,385.64
52.3,364.61
27.7,392.43
29.7,390.94
34.5,389.85
44.4,396.9
35.9,370.78
18.5,392.33
36.1,384.46
21.9,382.8
19.5,376.04
97.4,377.73
91,391.34
83.4,395.43
81.3,390.74
88,374.56
91.1,350.65
96.2,380.79
89,353.04
82.9,354.55
87.9,354.7
91.4,316.03
100,131.42
100,375.52
96.8,375.33
97.5,392.05
100,366.15
89.6,347.88
100,396.9
100,396.9
97.9,396.9
93.3,363.02
98.8,396.9
96.2,396.9
100,393.74
91.9,396.9
99.1,396.9
100,396.9
100,396.9
91.2,285.83
98.1,396.9
100,396.9
89.5,396.9
100,372.92
98.9,396.9
97,394.43
82.5,378.38
97,396.9
92.6,396.9
94.7,396.9
98.8,391.98
96,396.9
98.9,393.1
100,396.9
77.8,338.16
100,396.9
100,396.9
100,376.11
96,396.9
85.4,329.46
100,384.97
100,370.22
100,332.09
97.9,314.64
100,179.36
100,2.6
100,35.05
100,28.79
100,210.97
100,88.27
100,27.25
90.8,21.57
89.1,127.36
100,16.45
76.5,48.45
100,318.75
95.3,319.98
87.6,291.55
85.1,2.52
70.6,3.65
95.4,7.68
59.7,24.65
78.7,18.82
78.1,96.73
95.6,60.72
86.1,83.45
94.3,81.33
74.8,97.95
87.9,100.19
95,100.63
94.6,109.85
93.3,27.49
100,9.32
87.9,68.95
93.9,396.9
92.4,391.45
97.2,385.96
100,395.69
100,386.73
96.6,240.52
94.8,43.06
96.4,318.01
96.6,388.52
98.7,396.9
98.3,304.21
92.6,0.32
98.2,355.29
91.8,385.09
99.3,375.87
94.1,6.68
86.5,50.92
87.9,10.48
80.3,3.5
83.7,272.21
84.4,396.9
90,255.23
88.4,391.43
83,396.9
89.9,393.82
65.4,396.9
48.2,334.4
84.7,22.01
94.5,331.29
71,368.74
56.7,396.9
84,396.9
90.7,395.33
75,393.37
67.6,374.68
95.4,352.58
97.4,302.76
93.6,396.21
97.3,349.48
96.7,379.7
88,383.32
64.7,396.9
74.9,393.07
77,395.28
40.3,392.92
41.9,370.73
51.9,388.62
79.8,392.68
53.2,388.22
92.7,395.09
98.3,344.05
98,318.43
98.8,390.11
83.5,396.9
54,396.9
42.6,396.9
28.8,393.29
72.9,396.9
70.6,396.9
65.3,396.9
73.5,395.77
79.7,396.9
69.1,391.99
76.7,396.9
91,396.9
89.3,393.45
80.8,396.9
